set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
75436,"The Mandalorian & Grogu's Speeder Bike",900,999,https://lego.mybrickhouse.com/products/lego-r-star-wars-the-mandalorian-grogu-s-speeder-bike-75436
40879,"Eleven, Max, Demogorgon and Holly Figures",3600,4499,https://lego.mybrickhouse.com/products/lego-brickheadz-stranger-things-eleven-max-demogorgon-and-holly-figures-40879
11043,"Cool Creative Box",2700,3199,https://lego.mybrickhouse.com/products/classic-cool-creative-box-colourful-building-bricks-toy-11043-building-kit-510-pieces
40818,"Italy Postcard",1300,1449,https://lego.mybrickhouse.com/products/creator-italy-postcard-building-kit-for-kids-40818-building-kit-189-pieces
10365,"Captain Jack Sparrow's Pirate Ship",34200,36499,https://lego.mybrickhouse.com/products/lego-r-icons-captain-jack-sparrow-s-pirate-ship-building-kit-for-adults-10365-2862-pieces
31172,"Record Player with Flowers",2700,3199,https://lego.mybrickhouse.com/products/creator-3in1-record-player-with-flowers-music-set-31172-building-kit-366-pieces
10480,"Discovery Forest with Wild Animals",7200,8499,https://lego.mybrickhouse.com/products/lego-r-duplo-r-discovery-forest-with-wild-animals-10480
42242,"Mercedes-Benz Unimog U 5023 with Crane",11700,12999,https://lego.mybrickhouse.com/products/lego-r-technic-mercedes-benz-unimog-u-5023-with-crane-42242
43013,"Kylian Mbappé – Football Highlights",2700,2999,https://lego.mybrickhouse.com/products/lego-r-editions-kylian-mbappe-soccer-highlights-43013
850808,"Chrome Gold Brick Key Chain",,699,https://lego.mybrickhouse.com/products/keyring-2x4-stud-gold-850808
11203,"Bluey’s Family House",6300,7299,https://lego.mybrickhouse.com/products/lego-r-bluey-bluey-s-family-house-playset-home-building-kit-11203
854111,"Donald Duck Key Chain",500,699,https://lego.mybrickhouse.com/products/disney-donald-duck-keyring-854111
43033,"2026 U.S. Soccer National Team Jersey",2200,2499,https://lego.mybrickhouse.com/products/lego-r-editions-2026-u-s-soccer-national-team-jersey-43033
43012,"Cristiano Ronaldo – Football Highlights",2700,2999,https://lego.mybrickhouse.com/products/lego-r-editions-cristiano-ronaldo-soccer-highlights-43012
854312,"R2-D2 Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-r2-d2-keyring-gift-idea-for-kids-aged-6-and-over-854312-building-kit
40916,"Floral Picture Frame",,2499,https://lego.mybrickhouse.com/products/lego-r-botanicals-floral-picture-frame-building-set-40916
21279,"The Enderman Tower",9000,10999,https://lego.mybrickhouse.com/products/minecraft-the-enderman-tower-21279-building-kit-867-pieces
76457,"Hogsmeade Village – Collectors' Edition",36000,41199,https://lego.mybrickhouse.com/products/harry-potter-hogsmeade-village-collectors-edition-76457-building-kit-3228-pieces
43032,"FIFA World Cup 2026 Official Emblem",2200,2499,https://lego.mybrickhouse.com/products/lego-r-editions-fifa-world-cup-2026-official-emblem-43032
21359,"Italian Riviera",27000,28999,https://lego.mybrickhouse.com/products/ideas-italian-riviera-architecture-for-adults-gift-idea-21359-building-kit-3251-pieces
40803,"Optimus Prime Robot & Vehicle",2200,2099,https://lego.mybrickhouse.com/products/brickheadz-transformers-optimus-prime-robot-figure-vehicle-toy-40803-building-kit-237-pieces
42645,"Aliya's Baby Sister's Playroom",1600,1799,https://lego.mybrickhouse.com/products/friends-aliya-s-baby-sister-s-playroom-pretend-play-building-kit-42645-125-pieces
42694,"Pizza Truck",1300,1499,https://lego.mybrickhouse.com/products/lego-r-friends-pizza-truck-building-toy-playset-42694
75429,"AT-AT Driver Helmet",6300,8199,https://lego.mybrickhouse.com/products/star-wars-at-at-driver-helmet-75429-building-kit-730-pieces
43021,"Nike Dunk Trickshot",3600,4099,https://lego.mybrickhouse.com/products/mrmw-43021-1
30717,"Fun Halloween Skeleton",,399,https://lego.mybrickhouse.com/products/fun-halloween-skeleton
71809,"Egalt the Master Dragon",6300,6399,https://lego.mybrickhouse.com/products/ninjago-r-egalt-the-master-dragon-hero-toy-71809-building-kit-532-pieces
60491,"Motorcycle Transporter",1999,1999,https://lego.mybrickhouse.com/products/lego-r-city-motorcycle-transporter-toy-and-2-minifigures-60491
854112,"Daisy Duck Key Chain",500,699,https://lego.mybrickhouse.com/products/disney-daisy-duck-keyring-854112
40824,"Sweetheart Tweety Bird",3100,3649,https://lego.mybrickhouse.com/products/looney-tunes-sweetheart-tweety-bird-figure-display-building-kit-40824-building-kit-412-pieces
31173,"Wild Animals: Tropical Toucan",1600,1799,https://lego.mybrickhouse.com/products/creator-3in1-wild-animals-tropical-toucan-figure-31173-building-kit-225-pieces
854304,"Medium Lavender 2x4 Key Chain",500,699,https://lego.mybrickhouse.com/products/medium-lavender-2x4-stud-keyring-aesthetic-display-toy-854304
11209,"Ultron vs. Iron Man",1800,1999,https://lego.mybrickhouse.com/products/lego-r-marvel-iron-man-and-his-awesome-friends-ultron-vs-iron-man-11209
76923,"Lamborghini Lambo V12 Vision GT Super Car",2400,3199,https://lego.mybrickhouse.com/products/speed-champions-lamborghini-lambo-v12-vision-gt-super-car-76923-building-kit-230-pieces
21590,"Wither Battle",5800,6999,https://lego.mybrickhouse.com/products/lego-r-minecraft-r-wither-battle-pretend-play-gamer-gift-21590
40886,"Penguins in Love",,1499,https://lego.mybrickhouse.com/products/lego-r-penguins-in-love-valentine-s-day-decorations-40886
42196,"Lamborghini Huracán Tecnica Orange",4500,5949,https://lego.mybrickhouse.com/products/technic-lamborghini-huracan-tecnica-orange-set-42196-building-kit-806-pieces
10343,"Mini Orchid",2700,3199,https://lego.mybrickhouse.com/products/botanicals-mini-orchid-plant-gift-10343-building-kit-274-pieces
11037,"Creative Space Planets",3100,2749,https://lego.mybrickhouse.com/products/classic-creative-space-planets-kit-11037-building-kit-450-pieces
10355,"Blacktron Renegade",9000,9099,https://lego.mybrickhouse.com/products/icons-blacktron-renegade-spaceship-10355-building-kit-1151-pieces
42610,"Karaoke Music Party",1800,2290,https://lego.mybrickhouse.com/products/friends-karaoke-music-party-set-42610-building-kit-196-pieces
31161,"Medieval Dragon",5400,6399,https://lego.mybrickhouse.com/products/creator-3in1-medieval-dragon-creature-toy-playset-31161-building-kit-715-pieces
71805,"Jay's Mech Battle Pack",900,1149,https://lego.mybrickhouse.com/products/ninjago-r-jay-s-mech-battle-pack-ninja-toy-71805-building-kit-78-pieces
42177,"Mercedes-Benz G 500 PROFESSIONAL Line",22500,21999,https://lego.mybrickhouse.com/products/technic-mercedes-benz-g-500-professional-line-42177-building-kit-2891-pieces
60449,"Off-Road Police Car Chase",3600,4999,https://lego.mybrickhouse.com/products/city-off-road-police-car-chase-set-60449-building-kit-467-pieces
42648,"Panda Sanctuary Animal Care",2700,3349,https://lego.mybrickhouse.com/products/friends-panda-sanctuary-animal-care-42648-building-kit-243-pieces
